epoch,train_loss,val_loss
0,,0.24656241935112133
1,1.1456524739852718,0.2710339050398096
2,0.2510326276039429,0.09522464775147446
3,-0.08277448067122192,-0.5617408148104819
4,-0.25549949368102687,-0.6956923685220144
5,-0.5567028742579889,-0.7794653721631767
6,-0.6932449900567837,-0.7940398613586006
7,-0.7579681516807575,-0.8015596696754957
8,-0.8000742304815096,-0.840896590519305
9,-0.8240989907657933,-0.809334037349084
10,-0.8475688187303434,-0.8547328629973718
11,-0.8617541184080633,-0.8568766335155783
12,-0.8802761454935202,-0.8859426923153992
13,-0.8908323080198293,-0.8939564931932928
14,-0.9026100846436167,-0.8862516627075799
15,-0.9084810725396812,-0.8803057923755143
16,-0.9201366491600073,-0.9064502703922181
17,-0.9332426031536235,-0.9110549790627653
18,-0.9414772247534173,-0.9239225091398879
19,-0.9502752728270353,-0.9251252110835719
20,-0.9600432718057731,-0.9266134752538481
21,-0.9672613474454078,-0.9295790553698802
22,-0.9751769877678798,-0.9197468837137649
23,-0.9856661878570258,-0.9291380929971144
24,-0.994606614996276,-0.9298006529882529
25,-1.0038275095153562,-0.9298777265959851
26,-1.0148500697939906,-0.9231187302444751
27,-1.026087268946381,-0.9217215136188556
28,-1.0367814915430218,-0.9205455389600518
29,-1.0478145986908312,-0.9189153804585424
