epoch,train_loss,val_loss
0,,0.1363710267852851
1,0.36998999847784836,0.11236953238070506
2,0.12332703141825503,0.10759860802775505
3,0.11226388517357253,0.10549848313384735
4,0.10565542332454747,0.10543229210831526
5,0.10117521104962726,0.09908323251750539
6,0.09787016979331006,0.0976256260435559
7,0.09576013936798551,0.1005710347867417
8,0.09300493471787599,0.0945105033920342
9,0.09171885049492372,0.09336179950419213
10,0.09068020269849006,0.09226490511793685
11,0.08901350674310429,0.09088160875772044
12,0.08732356435838229,0.09525705336852018
13,0.08713141257520964,0.09079764299654074
14,0.08526392933991243,0.0952655461098536
15,0.0839475672764632,0.0902919379425373
16,0.08336866776756453,0.08957664422089247
17,0.08213730544449159,0.09177112628241897
18,0.08038612570638852,0.09208588451397912
19,0.07927553119175966,0.08999150541491745
20,0.07799285991040093,0.08931673569531853
21,0.07668321971660978,0.09041115270021957
22,0.07466864409936014,0.09076642990460379
23,0.0726355176137797,0.09081001296447164
24,0.07057195545833146,0.08990771400319247
25,0.06824707645587497,0.09046382682914522
