epoch,train_loss,val_loss
0,,0.1445374890167348
1,0.4149170227203746,0.12046990602901644
2,0.12522583420388367,0.10667321517534266
3,0.11242885552474435,0.11134054564268761
4,0.10701887559036097,0.10651362120777945
5,0.10164233334242301,0.10696726089248017
6,0.09855376933205726,0.09787562546428492
7,0.09653388925958666,0.0969522507461927
8,0.09441592901578046,0.09541204933582394
9,0.09233827040197547,0.09411810995034352
10,0.0910562132930269,0.09877888556245529
11,0.09043250070713496,0.09398783054971892
12,0.088532395423608,0.09766366288696994
13,0.0882835232821308,0.09459438923118911
14,0.08728320564987899,0.09143099872575444
15,0.08649925464146428,0.09210673201460336
16,0.08586317817611971,0.09197502687130858
17,0.08495544111767214,0.09167339930449454
18,0.08442671770778465,0.09206902455341334
19,0.0839827943140271,0.09037197217656537
20,0.0829424643061589,0.09062391070134068
21,0.08207468140931302,0.09209218158414234
22,0.08144604829038944,0.09034033321628208
23,0.08163068725546586,0.09053678608845528
24,0.0804451347855821,0.09087820907178527
25,0.079939912700027,0.09000913404939269
26,0.07946304107525903,0.08975961647828284
27,0.07845170598400422,0.09056650155980948
28,0.0772496411943055,0.0901568996359823
29,0.07722590785324555,0.09008241335364746
30,0.07596739143181938,0.09287709649361978
31,0.0747064347775257,0.09038449314527312
32,0.07368260537731627,0.09151872105495028
33,0.07303656063785591,0.09129083763458003
34,0.0716868039120825,0.09178951936587174
35,0.07078638663416711,0.09191456426325513
36,0.06951967120881686,0.09125481355216367
37,0.06815047455841407,0.09276790693408274
38,0.06707336252957896,0.09246144687151324
39,0.06542963929762918,0.09251227120922884
40,0.06441778686452844,0.09513384410103394
41,0.062466068156717396,0.09578725668277636
